case,n,T,m,method,lower_exact,upper_exact,absolute_width,relative_width,target_met,nodes,stop,search_seconds,archived_check_seconds
maintenance3,16,32,4,aggregate,4173160009873296596377127881152172331822493221733706632331502680744601036129700244133087756910082168482306698579468237440651372898707874943938080733392696269157492377137480478937784867582731368440297740342964874706751014139226278259468404480164768252384386986074545214993359255093372182455164065475505207220323566107616407824406882086918716803574939463401812537162122989328479154366608644628387353155755075817848944074358115806641525304973649241067641974833697140028472709209755608106431770106392237080109463207852606408934211450897367457/256778318335037960360361861645288791640563016338437643064773839363071000004408537536329837276958427497689268542388630446882455604437688788400263148082164594092552763519409068659090223363349678198628325773948833090263443600092856223593746873152135593180283490975335010413028005260162074705288858594998142790412623521901212828914153360611616654503984289365779595186587252832758867935175326630964297783280471397311833133609717134564163075577893733007360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,79201935647041510148581758155703600892963694382627902189761415128808586036062704888445603142154876220896830459215858536899139713182075270063462220427412290196973230925266773197131743890432649413939261470858483218575390077036627752225725517249063850617352030909942137362629092147690311289401957648567210777403479673580245840687950655671263334239206253113333838437993038702765251677602711428611822731233820528497472589604603229431718145809201213849018221099879139642065838557987888762593285764951510493739109446173869591457438396337502337471647250192309097202789842883345531060296373694196116542844302827444762867560216385358845182356357662993934276207178981007442428886381079799986705241655077240636363738824030391842348714080288760996214484073649238454498106654078987204746298454118082773630076041/4839121655211059282443464205563925229585847398065063875613091001088097090677169097135249427625507979672091494442869212489577872004424695422451218609941066722092264976070567821687087796561490269026021090083344198732280126201314012892143503842777568253744263715258005388130120591808330643875055540901915322550357891790311283657631727130052577329107517163043225583426028905497074704922610369967401900054123368765076603229438134668857953325657569055350386561492272492493211994383231406355319040403443297760450547407896356074287821211406733365294307590324188742061298037587902138198733703106691483109994358382578870112760185360432280546950014565516322826771810059652493286472577617197019580610038372577784794972160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.11501126283570197,0.007027018822641687,False,13,time_cap,124.34979710300001,18.921501389000014
maintenance3,16,32,4,certified_intersection,4173160009873296596377127881152172331822493221733706632331502680744601036129700244133087756910082168482306698579468237440651372898707874943938080733392696269157492377137480478937784867582731368440297740342964874706751014139226278259468404480164768252384386986074545214993359255093372182455164065475505207220323566107616407824406882086918716803574939463401812537162122989328479154366608644628387353155755075817848944074358115806641525304973649241067641974833697140028472709209755608106431770106392237080109463207852606408934211450897367457/256778318335037960360361861645288791640563016338437643064773839363071000004408537536329837276958427497689268542388630446882455604437688788400263148082164594092552763519409068659090223363349678198628325773948833090263443600092856223593746873152135593180283490975335010413028005260162074705288858594998142790412623521901212828914153360611616654503984289365779595186587252832758867935175326630964297783280471397311833133609717134564163075577893733007360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,17041562501510425685399735959204262955483215351863570707118196070211269433003119644837008151841876906473585710518919910965934073809922859844597124484348548568113437217761785992353774766380579041228220792846633036597361154875675474168816930020837871056432362835650541113327839714517241644319532031771888069709061165216968583117195727565515587190148211128234535291245670510254189646698875550600128141453872612950959897443040105265871683249183994532235184982563077313669394061421304590386450738754381266109064454156582982526606743780637065426676583883108573158001583653326341288265222731446522325600551907189069075423040724514727203195598136029222916197212230278322152562286399518673971611116078463810759566370466336343419814138266999455880811709016091670739902687128844205895835943456301811568506057415838218673166961729548021989308600923100125396969388982107919922756317108237980286350968372608321535450706286355553761776104200303621018728282439585153696374665807754105984126019395987460979838917868530001483658283140959549418633075028934645080894684143369502154152781762072544041002981706573741138428700558496741251375809367774252710395899/1041287616676615212833361695124740248810263039562359515110521516635570862007247420146069505172531648872046962064974796051864726784627590634864753523447722905734555481272350653158830585274767146967668027209969326717972920755627734656369574519761694297109614178894316295166839255114848333379842681334485978486856261624079882364584917695620969237235579057211238819351636144733436407685176839973568682967784094624998801812877703253576394910167251358134087204627694813637601762180176724655441955482027512686484246256636703761431596786731480810186082678137425117301536125428776470206040618527755530092328632962750451261977064113976960425923557493463548674580199590248710632821580475718831450399864676058862857130173104895626637239968629275510481882999959180929859236480149504910397480188007154001559424646437207106991707825505793976331989670186380069698562715201570038268877860831763245569447434430151773295332386291958960571856411239342107018052070147328202194738380052907996295585802580389991570240796076358784347294841271893237837440781296389002677452800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.11386008970332379,0.006957173171840983,False,,combined three computations,,
inventory0,4,4,3,bellman,0,0,0.0,0,True,1,target,0.0821680060000034,0.06516146999999961
inventory0,4,4,3,aggregate,0,0,0.0,0,True,1,target,0.02772578600000486,0.018277656999998726
inventory0,4,4,3,certified_intersection,0,0,0.0,0,True,,combined three computations,,
inventory1,8,8,3,bellman,1245405606927890431/274877906944000000,26080600064939473462933083437543604160616307655288525525836512795688335190959955354587700234268949604604161827021/5733746539975178779027052238255217351991412472920702809343972098467307190221212020175046382775314216386560000000,0.017854844728825436,0.003925337374553789,False,239,time_cap,120.58154892599998,69.526309234
inventory1,8,8,3,aggregate,1242957376928202931/274877906944000000,26080600064939473462933083437543604160616307655288525525836512795688335190959955354587700234268949604604161827021/5733746539975178779027052238255217351991412472920702809343972098467307190221212020175046382775314216386560000000,0.02676145358257471,0.005883430270075352,False,911,time_cap,120.10833818399999,74.70190429399997
inventory1,8,8,3,certified_intersection,1245405606927890431/274877906944000000,26080600064939473462933083437543604160616307655288525525836512795688335190959955354587700234268949604604161827021/5733746539975178779027052238255217351991412472920702809343972098467307190221212020175046382775314216386560000000,0.017854844728825436,0.003925337374553789,False,,combined three computations,,
inventory2,8,16,4,bellman,25269028604809870655704317133847/2251799813685248000000000000000,21201914546672714031993271329587546081468353753389255893295977009235220261438580324364602536328695029169672366334994225171130454123775704792164498052727336948162982185619933479861258911/1886981212410770676120777290494134445458460610208220214188103150122812081196074426043063362588829383770734187515381922449885292314962396316280717125716348021824697663488000000000000000,0.014187695485189398,0.0012627121371055101,False,25,time_cap,120.592203993,20.993579264000005
inventory2,8,16,4,aggregate,25222455511766542655704317133847/2251799813685248000000000000000,385660930410939959710757359724092700699286754282699312496720572004668252954601921296371717791075032319721911917686668220045609003331215573971557576888292685129999853842033/34323988300653048574909503995406966086347176500716527046972317295927715916988280260612798203307272774886481556957404290185609939998583219062870141455575285760000000000000,0.03488054300624713,0.0031043832954277656,False,209,time_cap,120.13189947000001,50.88963276599998
inventory2,8,16,4,certified_intersection,25269028604809870655704317133847/2251799813685248000000000000000,21201914546672714031993271329587546081468353753389255893295977009235220261438580324364602536328695029169672366334994225171130454123775704792164498052727336948162982185619933479861258911/1886981212410770676120777290494134445458460610208220214188103150122812081196074426043063362588829383770734187515381922449885292314962396316280717125716348021824697663488000000000000000,0.014187695485189398,0.0012627121371055101,False,,combined three computations,,
inventory3,16,32,4,bellman,404236952329498097048424767986121494706463034464857765747212779031/25961484292674138142652481646100480000000000000000000000000000000,405898487324237175465245747815430934706463034464857765747212779031/25961484292674138142652481646100480000000000000000000000000000000,0.06400000000030559,0.00409347422231663,False,7,time_cap,126.244025442,25.605365632
