dataset,path,arm,seed,rate,orders,calls,generation_seconds,checker_seconds,candidate_status,candidate_bound,deployed_bound,termination
tuning,revisions/2026-09-23-r24/results/tuning/seed24002/tangent_0.02/record.json,tangent_adam,24002,0.02,--,200,0.5919754270000226,2.075493090000009,CERTIFIED,0.0032153092998390424,0.0032153092998390424,call_cap
tuning,revisions/2026-09-23-r24/results/tuning/seed24002/tangent_0.08/record.json,tangent_adam,24002,0.08,--,200,0.5980300200000102,2.060273701,CERTIFIED,0.002110696263768031,0.002110696263768031,call_cap
tuning,revisions/2026-09-23-r24/results/tuning/seed24002/white_0.005/record.json,white_adam,24002,0.005,--,200,0.5873208799999929,2.0501643169999966,CERTIFIED,0.029853780161409608,0.029853780161409608,call_cap
tuning,revisions/2026-09-23-r24/results/tuning/seed24002/white_0.02/record.json,white_adam,24002,0.02,--,200,0.5888985260000084,2.072693883999989,CERTIFIED,0.022410455146079315,0.022410455146079315,call_cap
tuning,revisions/2026-09-23-r24/results/tuning/seed24002/white_0.08/record.json,white_adam,24002,0.08,--,200,0.5938402940000174,2.0752100310000117,CERTIFIED,0.021034277247828918,0.021034277247828918,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/diagonal_adam/record.json,diagonal_adam,24101,0.08,"[12, 24]",400,1.8550278240001035,10.36515856199992,CERTIFIED,0.0020087006072522233,0.0020087006072522233,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_adam/record.json,direct_adam,24101,0.08,"[12, 24]",400,1.8574562180000953,10.383622643000137,CERTIFIED,0.00203820932294474,0.00203820932294474,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24101,0.08,"[12, 24]",114,0.5377780339999845,10.54201069000004,CERTIFIED,0.001923287065451085,0.0019234705809005883,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_adam/record.json,neural_adam,24101,0.08,"[12, 24]",400,2.0021336620000056,10.366682223000055,CERTIFIED,0.0019253269342498493,0.0019253269342498493,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24101,0.08,"[12, 24]",87,0.4369039040000189,10.579521157000045,CERTIFIED,0.009608169993687634,0.009608180120207256,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/tangent_adam/record.json,tangent_adam,24101,0.08,"[12, 24]",400,1.8617454479999083,10.38906658000002,CERTIFIED,0.0020844634590901916,0.0020844634590901916,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/white_adam/record.json,white_adam,24101,0.08,"[12, 24]",400,1.9180340249999404,10.584052033999967,CERTIFIED,0.018742267018054818,0.018742267018054818,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/diagonal_adam/record.json,diagonal_adam,24101,0.08,"[8, 16]",400,1.1816806419999182,10.319522490999987,CERTIFIED,0.0020087346052335424,0.0020087346052335424,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_adam/record.json,direct_adam,24101,0.08,"[8, 16]",400,1.1786410029999956,10.325065026000004,CERTIFIED,0.0020382481521643574,0.0020382481521643574,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_lbfgsb/record.json,direct_lbfgsb,24101,0.08,"[8, 16]",104,0.29872752399998603,10.435301989000038,CERTIFIED,0.0019232953479479955,0.0019234428579739673,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_adam/record.json,neural_adam,24101,0.08,"[8, 16]",400,1.3051846989999945,10.30997949600004,CERTIFIED,0.0019253392980120856,0.0019253392980120856,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/neural_lbfgsb/record.json,neural_lbfgsb,24101,0.08,"[8, 16]",102,0.3219749450000222,10.452071088000025,CERTIFIED,0.009608290435566104,0.009608326141774317,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/tangent_adam/record.json,tangent_adam,24101,0.08,"[8, 16]",400,1.1725568000000237,10.327913935000026,CERTIFIED,0.0020844980833552022,0.0020844980833552022,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/white_adam/record.json,white_adam,24101,0.08,"[8, 16]",400,1.1722032339999942,10.411563876999963,CERTIFIED,0.018742028541234527,0.018742028541234527,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/diagonal_adam/record.json,diagonal_adam,24102,0.08,"[12, 24]",400,1.8505260339999836,10.309920027999908,CERTIFIED,0.0020024808414242927,0.0020024808414242927,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_adam/record.json,direct_adam,24102,0.08,"[12, 24]",400,1.8614220229999887,10.320712384999865,CERTIFIED,0.002039188029396622,0.002039188029396622,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24102,0.08,"[12, 24]",110,0.501578894999966,10.371480662000067,CERTIFIED,0.0019232870954930539,0.0019236668151600968,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_adam/record.json,neural_adam,24102,0.08,"[12, 24]",400,1.9910084909998318,10.373935028999995,CERTIFIED,0.0019257047520924166,0.0019257047520924166,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24102,0.08,"[12, 24]",400,1.9296959469999706,10.377846007000073,CERTIFIED,0.001923322550320128,0.0019235135183621745,call_cap_last_accepted_iterate
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/tangent_adam/record.json,tangent_adam,24102,0.08,"[12, 24]",400,1.8314384580000933,10.364805015000059,CERTIFIED,0.0021571819096870564,0.0021571819096870564,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/white_adam/record.json,white_adam,24102,0.08,"[12, 24]",400,1.8381290749999266,10.375298641000029,CERTIFIED,0.01753456650033303,0.01753456650033303,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q8_16/diagonal_adam/record.json,diagonal_adam,24102,0.08,"[8, 16]",400,1.1756434270000113,10.340966846999947,CERTIFIED,0.0020025216625403357,0.0020025216625403357,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q8_16/direct_adam/record.json,direct_adam,24102,0.08,"[8, 16]",400,1.1824017819999995,10.500091325000028,CERTIFIED,0.002039227052281545,0.002039227052281545,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q8_16/direct_lbfgsb/record.json,direct_lbfgsb,24102,0.08,"[8, 16]",119,0.3429690709999704,10.365441824000015,CERTIFIED,0.0019232953928507437,0.0019232962195745442,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q8_16/neural_adam/record.json,neural_adam,24102,0.08,"[8, 16]",400,1.299983940000061,10.448086998000008,CERTIFIED,0.0019257129121523777,0.0019257129121523777,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q8_16/neural_lbfgsb/record.json,neural_lbfgsb,24102,0.08,"[8, 16]",400,1.2615089849999777,10.504554103999965,CERTIFIED,0.0019233730572369991,0.0019235329068323372,call_cap_last_accepted_iterate
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q8_16/tangent_adam/record.json,tangent_adam,24102,0.08,"[8, 16]",400,1.1770163810001577,10.33875752900002,CERTIFIED,0.0021572316161435627,0.0021572316161435627,call_cap
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q8_16/white_adam/record.json,white_adam,24102,0.08,"[8, 16]",400,1.17807956900009,10.34280491200002,CERTIFIED,0.017534219158449996,0.017534219158449996,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex0/direct_adam/record.json,direct_adam,24300,0.08,--,400,1.1708352310000691,2.070907643000055,CERTIFIED,0.002708728633279201,0.002708728633279201,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex0/direct_lbfgsb/record.json,direct_lbfgsb,24300,0.08,--,46,0.13288601600004313,2.068998188000023,CERTIFIED,0.0025871595070883218,0.0025871595070883218,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
multicell,revisions/2026-09-23-r24/results/multicell/vertex0/neural_adam/record.json,neural_adam,24300,0.08,--,400,1.3096496460000253,2.0655521119999776,CERTIFIED,0.0025893045251610407,0.0025893045251610407,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex0/tangent_adam/record.json,tangent_adam,24300,0.08,--,400,1.1805886729999884,2.073257889000047,CERTIFIED,0.0026926153830713066,0.0026926153830713066,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex1/direct_adam/record.json,direct_adam,24301,0.08,--,400,1.1682347570000502,2.0735949940000182,CERTIFIED,0.0026131477933797336,0.0026131477933797336,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex1/direct_lbfgsb/record.json,direct_lbfgsb,24301,0.08,--,161,0.4630392669999992,2.0723132219999343,CERTIFIED,0.002488111135906746,0.002488111135906746,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
multicell,revisions/2026-09-23-r24/results/multicell/vertex1/neural_adam/record.json,neural_adam,24301,0.08,--,400,1.3117510890000403,2.0772604700000556,CERTIFIED,0.002491674678488654,0.002491674678488654,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex1/tangent_adam/record.json,tangent_adam,24301,0.08,--,400,1.1686217120000038,2.0696717040000294,CERTIFIED,0.0026765243452824277,0.0026765243452824277,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex2/direct_adam/record.json,direct_adam,24302,0.08,--,400,1.1680312170000207,2.0884412650000286,CERTIFIED,0.004398789916329139,0.004398789916329139,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex2/direct_lbfgsb/record.json,direct_lbfgsb,24302,0.08,--,181,0.5185008589999143,2.1046903510000448,CERTIFIED,0.004274862245436052,0.004274862245436052,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
multicell,revisions/2026-09-23-r24/results/multicell/vertex2/neural_adam/record.json,neural_adam,24302,0.08,--,400,1.2990082210000082,2.075742554000044,CERTIFIED,0.004280525835585803,0.004280525835585803,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex2/tangent_adam/record.json,tangent_adam,24302,0.08,--,400,1.1635777169999528,2.0736185670000395,CERTIFIED,0.004508255952495822,0.004508255952495822,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex3/direct_adam/record.json,direct_adam,24303,0.08,--,400,1.1702259329999833,2.082930777999991,CERTIFIED,0.0023799770396086832,0.0023799770396086832,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex3/direct_lbfgsb/record.json,direct_lbfgsb,24303,0.08,--,84,0.24254353000003448,2.0725750290000633,CERTIFIED,0.002267455876511671,0.002267455876511671,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
multicell,revisions/2026-09-23-r24/results/multicell/vertex3/neural_adam/record.json,neural_adam,24303,0.08,--,400,1.308252032999917,2.1192714690000685,CERTIFIED,0.002270648533083009,0.002270648533083009,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex3/tangent_adam/record.json,tangent_adam,24303,0.08,--,400,1.1675320340000326,2.070604889999913,CERTIFIED,0.0024405530166116134,0.0024405530166116134,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex4/direct_adam/record.json,direct_adam,24304,0.08,--,400,1.1763487000000623,2.0659311229999275,CERTIFIED,0.002145887124555879,0.002145887124555879,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex4/direct_lbfgsb/record.json,direct_lbfgsb,24304,0.08,--,202,0.5794623660000298,2.0717519319999838,CERTIFIED,0.0020302977599213627,0.0020302977599213627,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
multicell,revisions/2026-09-23-r24/results/multicell/vertex4/neural_adam/record.json,neural_adam,24304,0.08,--,400,1.2976417699999274,2.061448976999941,CERTIFIED,0.002036149890628503,0.002036149890628503,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex4/tangent_adam/record.json,tangent_adam,24304,0.08,--,400,1.1759510029999092,2.0748150439999336,CERTIFIED,0.002185027133895901,0.002185027133895901,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex5/direct_adam/record.json,direct_adam,24305,0.08,--,400,1.177995810000084,2.0567271849999997,CERTIFIED,0.0038104841733939136,0.0038104841733939136,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex5/direct_lbfgsb/record.json,direct_lbfgsb,24305,0.08,--,167,0.4784957319999421,2.0665133420000075,CERTIFIED,0.0036969304865845935,0.0036969304865845935,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
multicell,revisions/2026-09-23-r24/results/multicell/vertex5/neural_adam/record.json,neural_adam,24305,0.08,--,400,1.3077434350000203,2.1046133879999616,CERTIFIED,0.0036987798917407226,0.0036987798917407226,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex5/tangent_adam/record.json,tangent_adam,24305,0.08,--,400,1.1664905129999852,2.064598020999938,CERTIFIED,0.0038466381166599732,0.0038466381166599732,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex6/direct_adam/record.json,direct_adam,24306,0.08,--,400,1.1794330420000279,2.062866000999975,CERTIFIED,0.002767599058502768,0.002767599058502768,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex6/direct_lbfgsb/record.json,direct_lbfgsb,24306,0.08,--,81,0.23546325099994192,2.0859586879998915,CERTIFIED,0.0026646455601002654,0.0026646455601002654,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
multicell,revisions/2026-09-23-r24/results/multicell/vertex6/neural_adam/record.json,neural_adam,24306,0.08,--,400,1.309974312999998,2.0622860519999904,CERTIFIED,0.0026675812857817065,0.0026675812857817065,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex6/tangent_adam/record.json,tangent_adam,24306,0.08,--,400,1.1778962959999717,2.0774879869999268,CERTIFIED,0.0027991480851030652,0.0027991480851030652,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex7/direct_adam/record.json,direct_adam,24307,0.08,--,400,1.1727613010000368,2.075423305000072,CERTIFIED,0.0023954116321280865,0.0023954116321280865,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex7/direct_lbfgsb/record.json,direct_lbfgsb,24307,0.08,--,169,0.48582787299994834,2.061242716000038,CERTIFIED,0.002288316363789456,0.002288316363789456,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
multicell,revisions/2026-09-23-r24/results/multicell/vertex7/neural_adam/record.json,neural_adam,24307,0.08,--,400,1.3044279140000299,2.061554524999906,CERTIFIED,0.002291285480942929,0.002291285480942929,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex7/tangent_adam/record.json,tangent_adam,24307,0.08,--,400,1.1771336630000633,2.08625164700004,CERTIFIED,0.0024259192090856367,0.0024259192090856367,call_cap
