dataset,path,arm,seed,orders,cap,calls,accepted,candidate_status,candidate_bound,deployed_bound,generation_seconds,cumulative_check_seconds
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/diagonal_adam/record.json,diagonal_adam,24101,"[12, 24]",25,25,True,CERTIFIED,0.007060107256473548,0.007060107256473548,0.11973650800001678,2.052113788999975
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/diagonal_adam/record.json,diagonal_adam,24101,"[12, 24]",50,50,True,CERTIFIED,0.0032727983464413417,0.0032727983464413417,0.24069093900004646,4.1275055219999786
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/diagonal_adam/record.json,diagonal_adam,24101,"[12, 24]",100,100,True,CERTIFIED,0.002453782706826946,0.002453782706826946,0.47347938600000816,6.216409692999946
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/diagonal_adam/record.json,diagonal_adam,24101,"[12, 24]",200,200,True,CERTIFIED,0.002144889657719862,0.002144889657719862,0.937111992000041,8.286602712999922
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/diagonal_adam/record.json,diagonal_adam,24101,"[12, 24]",400,400,True,CERTIFIED,0.0020087006072522233,0.0020087006072522233,1.8549544570000762,10.36515856199992
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_adam/record.json,direct_adam,24101,"[12, 24]",25,25,True,CERTIFIED,0.00930229284060058,0.00930229284060058,0.1185528569999974,2.0695333800000526
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_adam/record.json,direct_adam,24101,"[12, 24]",50,50,True,CERTIFIED,0.003987055186190914,0.003987055186190914,0.23520469899989394,4.132099455000059
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_adam/record.json,direct_adam,24101,"[12, 24]",100,100,True,CERTIFIED,0.0026765575209029007,0.0026765575209029007,0.4658820019999439,6.212296130000084
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_adam/record.json,direct_adam,24101,"[12, 24]",200,200,True,CERTIFIED,0.002225433341461303,0.002225433341461303,0.9271158720000017,8.286904230000118
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_adam/record.json,direct_adam,24101,"[12, 24]",400,400,True,CERTIFIED,0.00203820932294474,0.00203820932294474,1.8573799460000373,10.383622643000137
