{'file': 'results/randomized/random_H12_spline129_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 1918, 'cost_cells': 12310, 'restart_cells': 12770, 'support_inequalities_for_horizon_rule': 41166, 'seconds': 135.98230791399993, 'sha256': '234fc1e0a0c63f77c0409e00ecec1e492b2afe733843cb87bf688555dcf379c1', 'restart_sha256': 'ee13f210c3f87a321dfbe21ccf32ac6e4a4bc46c57c5e42348cb677cd853f1ff'}
{'file': 'results/randomized/random_H4_neural31003_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 78, 'cost_cells': 4106, 'restart_cells': 4127, 'support_inequalities_for_horizon_rule': 1956, 'seconds': 15.51698339799998, 'sha256': 'b3d259ed6f43227f1fe8a4efabad8c989cedacdeb2c7793cbbaff1120219d357', 'restart_sha256': 'd21312c3970af37eb43c81c9cabb1468578e289d6680198328c837fc7eacf385'}
{'file': 'results/randomized/random_H12_spline33_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 1916, 'cost_cells': 12310, 'restart_cells': 12770, 'support_inequalities_for_horizon_rule': 46962, 'seconds': 138.82307482599998, 'sha256': '01db6dff6f1da0fc48a3951486186d45836d2d66d89555e4dd8af51cc45fd975', 'restart_sha256': 'a174636f40b9a3b750294daf75018445c5240d0b0c64d476f93c3c3ebf6a1b53'}
{'file': 'results/randomized/random_H4_neural31003_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 68, 'cost_cells': 4105, 'restart_cells': 4116, 'support_inequalities_for_horizon_rule': 1956, 'seconds': 14.960804337000013, 'sha256': '5547132e80d173459a75cb2c2bd8c5fe2166f744864fda41fee041970e326819', 'restart_sha256': 'e70db45b98f7a4d5fc14bb341736a6488e42ddaca7c19d73647b52dd75e90638'}
{'file': 'results/randomized/random_H4_occupancy_stress_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 62, 'cost_cells': 4108, 'restart_cells': 4133, 'support_inequalities_for_horizon_rule': 2790, 'seconds': 17.16438034500004, 'sha256': '4b55c3bde7873e49e678973f7bb7032a3f208b9fcac94e28ef6b2c77bfa18539', 'restart_sha256': '7a218de7547e59e747ba0cb8cf420994a9fb6cdce4789d13b2d76d316e795645'}
{'file': 'results/randomized/random_H4_occupancy_stress_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 62, 'cost_cells': 4108, 'restart_cells': 4135, 'support_inequalities_for_horizon_rule': 2790, 'seconds': 16.49188789699997, 'sha256': '6f48d6baae1b1ff4358e163c46ec0c91a94a33d8cc1490631db314fceaa6ee8a', 'restart_sha256': 'bbcee1baa30143e6ed3caf9cb1e6065eeaf98cb511fe31dbdf9e3649d2079755'}
{'file': 'results/randomized/random_H4_spline129_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 56, 'cost_cells': 4102, 'restart_cells': 4110, 'support_inequalities_for_horizon_rule': 1482, 'seconds': 15.205848275999983, 'sha256': 'd823c11d4ef3b2844ba435ada42872457b52632f023a6a58141717a91e8641f0', 'restart_sha256': '9169d9651d7ae48de422a6db63b84979034cfbc01366d6d81b8888ed0c5db522'}
{'file': 'results/randomized/random_H12_occupancy_stress_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 1326, 'cost_cells': 12595, 'restart_cells': 13876, 'support_inequalities_for_horizon_rule': 122160, 'seconds': 200.84845307200004, 'sha256': 'aa6b229211c2ef239f8be770e0c493970b9c00a5f27dda35f9cc60410b0034c0', 'restart_sha256': 'a2be32e2b7b66724b07486f7bb6a281d707bfdcda403847e2336760c00824338'}
{'file': 'results/randomized/random_H4_spline129_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 56, 'cost_cells': 4102, 'restart_cells': 4110, 'support_inequalities_for_horizon_rule': 1482, 'seconds': 14.81467138000005, 'sha256': '02f7ef563c087f15f8aefc5f5b90c8e945f539e6c5b3efd3659543b52785b022', 'restart_sha256': '4a8b765dc7b954496593b57cd61048e5b861bb2f776fcc5b6def8979923b655d'}
{'file': 'results/randomized/random_H4_spline33_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 56, 'cost_cells': 4102, 'restart_cells': 4110, 'support_inequalities_for_horizon_rule': 1482, 'seconds': 15.21816246000003, 'sha256': '112404b1048341f74b80a61d2b1f55bd69d8ce0cb3fec562158de518f284e02d', 'restart_sha256': '90093b39e1ff74247d90b556e688ace0fa4bb03828ee81a6f4a6a610b711fab4'}
{'file': 'results/randomized/random_H4_spline33_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 56, 'cost_cells': 4102, 'restart_cells': 4110, 'support_inequalities_for_horizon_rule': 1482, 'seconds': 14.820636809000007, 'sha256': '1c420a71495589ee21cb3ce4b3bc69de5d1a629ece309306d0ac4300d64dcdae', 'restart_sha256': '7bd40d1ceeecbb4ef25ed68f3da4e5e82ade27e69ffd0122f1863aa0f1a9d1dc'}
{'file': 'results/randomized/random_H12_spline129_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 1918, 'cost_cells': 12310, 'restart_cells': 12770, 'support_inequalities_for_horizon_rule': 41166, 'seconds': 123.71740972700002, 'sha256': '94efd17a01adec0820fa4e7fbe3175fbda13156ddb9f20b5bfa2e21d54192d80', 'restart_sha256': '2acb2d3dba5ad437875f0b6dd9b0351f0f421b10c6ea98c9213beb2025be0eae'}
{'file': 'results/randomized/random_H12_spline33_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 1916, 'cost_cells': 12310, 'restart_cells': 12770, 'support_inequalities_for_horizon_rule': 46962, 'seconds': 124.79911928800004, 'sha256': '791d7614aca0c88fde5da9e67857b7cb8dab3860d13ba61de4fb71e13c08e0f0', 'restart_sha256': 'e9cbb4383edb9e31f207daefdde81e90dd9250b0de4aab86e16c6eef348aebc3'}
