case,method,lower,upper,absolute_width,relative_width,target_met,nodes,stop,seconds,lp_seconds,proof_bytes
queue0,price_search,699619678250067/1099511627776000,35820527526671679/56294995342131200,4.76505235269542e-12,7.488683682848172e-12,True,1,target,0.016641521999986253,0.0041818710000143255,1240
queue1,constant,519735019020525/140737488355328,4469164457837173414497624260686173061203981174624429828992554579494630338793098855868131/1185710993790117841137366886488964176417484642976159375764045660241030447512944640000000,0.07624588557788509,0.02022874423482572,False,0,price LP proposal,0.0077269470000373985,0.0026518040000382825,1799
queue1,restart,525027270282323/140737488355328,4469164457837173414497624260686173061203981174624429828992554579494630338793098855868131/1185710993790117841137366886488964176417484642976159375764045660241030447512944640000000,0.038642178679007155,0.010252130239546938,False,0,price LP proposal,0.015408146000027045,0.009049419999996644,1943
queue1,price_root,5171519154356731253/1374389534720000000,4469164457837173414497624260686173061203981174624429828992554579494630338793098855868131/1185710993790117841137366886488964176417484642976159375764045660241030447512944640000000,0.00640989162587142,0.0017006040036121352,False,1,node_cap,0.08458922499994515,0.019232314999953815,4480
queue1,price_search,5179017083492356253/1374389534720000000,4469164457837173414497624260686173061203981174624429828992554579494630338793098855868131/1185710993790117841137366886488964176417484642976159375764045660241030447512944640000000,0.0009544301673755723,0.0002532192209390808,True,125,target,9.052763556999935,2.457196194000062,160482
queue2,constant,1058393546087871/140737488355328,255584181939765884455968830442659391786985607246332839952551168535473991997019882323042963867988185693130410879862949198412413696745588865581147294863760694806961306275934506694617703711607181954686110022497625121010852824629487/33664869769909590446342335250432823459522174738068312700788997779639885787501317261527465832176566087852691000679540593363324366401176344724018014532172037439713431495222045428426648050459665390536276811109000806400000000000000,0.07167611695853934,0.009440987797870469,False,0,price LP proposal,0.01813183800004481,0.0052311690000124145,4676
queue2,restart,1060601104206739/140737488355328,255584181939765884455968830442659391786985607246332839952551168535473991997019882323042963867988185693130410879862949198412413696745588865581147294863760694806961306275934506694617703711607181954686110022497625121010852824629487/33664869769909590446342335250432823459522174738068312700788997779639885787501317261527465832176566087852691000679540593363324366401176344724018014532172037439713431495222045428426648050459665390536276811109000806400000000000000,0.05599047310724046,0.00737491644124947,False,0,price LP proposal,0.04609965800000282,0.028441845999964244,4865
queue2,price_root,2036201067051941971572081/268435456000000000000000,255584181939765884455968830442659391786985607246332839952551168535473991997019882323042963867988185693130410879862949198412413696745588865581147294863760694806961306275934506694617703711607181954686110022497625121010852824629487/33664869769909590446342335250432823459522174738068312700788997779639885787501317261527465832176566087852691000679540593363324366401176344724018014532172037439713431495222045428426648050459665390536276811109000806400000000000000,0.00657449363323797,0.0008659748435379198,False,1,node_cap,0.25785519299995485,0.07612793999999212,7162
queue2,price_search,4072593851034822663847287/536870912000000000000000,255584181939765884455968830442659391786985607246332839952551168535473991997019882323042963867988185693130410879862949198412413696745588865581147294863760694806961306275934506694617703711607181954686110022497625121010852824629487/33664869769909590446342335250432823459522174738068312700788997779639885787501317261527465832176566087852691000679540593363324366401176344724018014532172037439713431495222045428426648050459665390536276811109000806400000000000000,0.006217393021799515,0.0008189384992399623,False,513,time_cap,120.778527124,43.362211363998995,1033593
queue3,constant,3281268701114989/281474976710656,827120572005757948055812074771566728202931993495699254782781273793961567322258211753347185625792494292579110100248725647970196579237671774735781838191688812962954615020843851588626209361892440799841770076145791232267308635173687945387259783230470465040054604277710489217125417354741102679878673554371860119766415368014194206642385331498529230542243401957046360757107415564614725258133814588928076412426172770498714976984091635455156520161790846745302196881/70832716039060787575019371998399703372370420727520240442729352521330214494876720377530772799765404941387257682344958192301786996154825234445252173264518852950837949033549952368599498141588611063397934984275204032855635046974375061537948734845615737591638767341718256227676209579248783679691850093583841294242365142939564578585055822631025701562577967640493618540531148693220987257217576296144889656348745169820122287240642560000000000000000000000000000000,0.019689875303208024,0.001686195934910129,False,0,price LP proposal,0.09312738599999193,0.03689000600002146,16455
queue3,restart,821050494056865/70368744177664,827120572005757948055812074771566728202931993495699254782781273793961567322258211753347185625792494292579110100248725647970196579237671774735781838191688812962954615020843851588626209361892440799841770076145791232267308635173687945387259783230470465040054604277710489217125417354741102679878673554371860119766415368014194206642385331498529230542243401957046360757107415564614725258133814588928076412426172770498714976984091635455156520161790846745302196881/70832716039060787575019371998399703372370420727520240442729352521330214494876720377530772799765404941387257682344958192301786996154825234445252173264518852950837949033549952368599498141588611063397934984275204032855635046974375061537948734845615737591638767341718256227676209579248783679691850093583841294242365142939564578585055822631025701562577967640493618540531148693220987257217576296144889656348745169820122287240642560000000000000000000000000000000,0.009268788687447222,0.0007937578865097284,False,0,price LP proposal,0.45563687900005334,0.3823166829999991,17518
queue3,price_root,16048192175132684002947090763949208247816777/1374389534720000000000000000000000000000000,827120572005757948055812074771566728202931993495699254782781273793961567322258211753347185625792494292579110100248725647970196579237671774735781838191688812962954615020843851588626209361892440799841770076145791232267308635173687945387259783230470465040054604277710489217125417354741102679878673554371860119766415368014194206642385331498529230542243401957046360757107415564614725258133814588928076412426172770498714976984091635455156520161790846745302196881/70832716039060787575019371998399703372370420727520240442729352521330214494876720377530772799765404941387257682344958192301786996154825234445252173264518852950837949033549952368599498141588611063397934984275204032855635046974375061537948734845615737591638767341718256227676209579248783679691850093583841294242365142939564578585055822631025701562577967640493618540531148693220987257217576296144889656348745169820122287240642560000000000000000000000000000000,0.0005014685208291605,4.2944618403436946e-05,True,1,target,2.2088032139999996,1.1637759770000002,24538
queue3,price_search,16048192175132684002947090763949208247816777/1374389534720000000000000000000000000000000,827120572005757948055812074771566728202931993495699254782781273793961567322258211753347185625792494292579110100248725647970196579237671774735781838191688812962954615020843851588626209361892440799841770076145791232267308635173687945387259783230470465040054604277710489217125417354741102679878673554371860119766415368014194206642385331498529230542243401957046360757107415564614725258133814588928076412426172770498714976984091635455156520161790846745302196881/70832716039060787575019371998399703372370420727520240442729352521330214494876720377530772799765404941387257682344958192301786996154825234445252173264518852950837949033549952368599498141588611063397934984275204032855635046974375061537948734845615737591638767341718256227676209579248783679691850093583841294242365142939564578585055822631025701562577967640493618540531148693220987257217576296144889656348745169820122287240642560000000000000000000000000000000,0.0005014685208291605,4.2944618403436946e-05,True,1,target,2.231538594000085,1.1387644330000057,24529
tie0,constant,45899107130489/8796093022208,37669504437851374230459511/7205759403792793600000000,0.0095695502292916,0.0018305490763371082,False,0,price LP proposal,0.007854313999999363,0.0035299480000006156,1056
tie0,restart,91966563568433/17592186044416,37669504437851374230459511/7205759403792793600000000,3.070008559307044e-11,5.8725866920942425e-12,True,0,price LP proposal,0.011496159000003559,0.00636592899999755,1138
tie0,price_root,91966563568433/17592186044416,37669504437851374230459511/7205759403792793600000000,3.070008559307044e-11,5.8725866920942425e-12,True,1,node_cap,0.05465424500000182,0.010543096999995782,1119
tie0,price_search,91966563568433/17592186044416,37669504437851374230459511/7205759403792793600000000,3.070008559307044e-11,5.8725866920942425e-12,True,1,target,0.05521763999999507,0.011137456999996687,1098
tie1,constant,367192880984469/70368744177664,37669506426021848879703131/7205759403792793600000000,0.009569485927594,0.0018305366795193614,False,0,price LP proposal,0.007933016000002624,0.0034222769999985303,1070
tie1,restart,183933135929401/35184372088832,37669506426021848879703131/7205759403792793600000000,2.6045904888375318e-08,4.98229315662216e-09,True,0,price LP proposal,0.012107434999997224,0.006599565000001917,1167
tie1,price_root,45983284119721/8796093022208,37669506426021848879703131/7205759403792793600000000,1.0428658725428631e-08,1.9948869207320563e-09,True,1,node_cap,0.05828392099999746,0.011559222999999008,1124
tie1,price_search,45983284119721/8796093022208,37669506426021848879703131/7205759403792793600000000,1.0428658725428631e-08,1.9948869207320563e-09,True,1,target,0.05758869299999958,0.011707631000000163,1106
tie2,constant,367432349687983/70368744177664,75378788890797285026608467/14411518807585587200000000,0.008926448101407207,0.0017066296313772726,False,0,price LP proposal,0.007733520999998689,0.0033532220000012103,1066
tie2,restart,368042311003237/70368744177664,75378788890797285026608467/14411518807585587200000000,0.00025837646843908564,4.939847653617617e-05,True,0,price LP proposal,0.011201773999999887,0.006078037000001757,1104
tie2,price_root,92013296183231/17592186044416,75378788890797285026608467/14411518807585587200000000,0.00010385147564474968,1.9855154433670505e-05,True,1,node_cap,0.05690797599999797,0.010742595000003519,1128
tie2,price_search,92013296183231/17592186044416,75378788890797285026608467/14411518807585587200000000,0.00010385147564474968,1.9855154433670505e-05,True,1,target,0.055758658999998545,0.010797136000000762,1110
tie3,constant,583466668955649/70368744177664,555307235521298769804396310466235712070222578860459862626472190219093479/65820182292848241686198767302294020199309434625343194533944360960000000,0.1451718956733442,0.017207124319292923,False,0,price LP proposal,0.00772383800000398,0.0033488460000015152,1219
tie3,restart,586949383477501/70368744177664,555307235521298769804396310466235712070222578860459862626472190219093479/65820182292848241686198767302294020199309434625343194533944360960000000,0.09567954558878122,0.01134083031790231,False,0,price LP proposal,0.011629615999993348,0.006182510999998669,1337
tie3,price_root,587123294553181/70368744177664,555307235521298769804396310466235712070222578860459862626472190219093479/65820182292848241686198767302294020199309434625343194533944360960000000,0.09320812055892824,0.011047894019610927,False,1,node_cap,0.05424793800000316,0.010404835999999307,1269
tie3,price_search,587123294553181/70368744177664,555307235521298769804396310466235712070222578860459862626472190219093479/65820182292848241686198767302294020199309434625343194533944360960000000,0.09320812055892824,0.011047894019610927,False,2047,node_cap,100.82295375899999,24.24246874499947,724931
