MECHANISM m000 0.0 0.35 0.0 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m043 1.0 0.42425 0.0 4 {'local': -1.6653345369377348e-16, 'future': 3.729655473350135e-17, 'replacement': 0.0, 'option': -5.551115123125783e-17}
MECHANISM m044 1.0 0.42425 0.4 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m045 1.0 0.42425 0.4 4 {'local': -0.0001956952408881385, 'future': -0.0006175776182195825, 'replacement': 0.0, 'option': -0.0008132728591081495}
MECHANISM m046 1.0 0.42425 0.8 1 {'local': 2.5549210396325073e-05, 'future': 0.0001878513161367515, 'replacement': 0.0, 'option': 0.00021340052653318065}
MECHANISM m047 1.0 0.42425 0.8 4 {'local': 2.5549210396325073e-05, 'future': 0.0001878513161367515, 'replacement': 0.0, 'option': 0.00021340052653318065}
MECHANISM m048 1.0 0.5 0.0 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m049 1.0 0.5 0.0 4 {'local': 0.0, 'future': 5.204170427930421e-18, 'replacement': 0.0, 'option': 0.0}
MECHANISM m050 1.0 0.5 0.4 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m051 1.0 0.5 0.4 4 {'local': 2.5293368414058826e-05, 'future': -0.00011851638637264128, 'replacement': 0.0, 'option': -9.32230179585547e-05}
MECHANISM m052 1.0 0.5 0.8 1 {'local': 2.5549210396436095e-05, 'future': 0.00018785131613674108, 'replacement': 0.0, 'option': 0.0002134005265334027}
MECHANISM m053 1.0 0.5 0.8 4 {'local': 2.5549210396436095e-05, 'future': 0.00018785131613674108, 'replacement': 0.0, 'option': 0.0002134005265334027}
ECONOMIC EXTENSIONS DONE
